Title,Date,Author,Content
"

                        Woman learns she has HIV but refuses to inform her ex        
","August 5, 2016",Abby,"
        Woman refuses to tell ex she has HIV By Abby Dear Abby: My friend ""Camilla"" recently learned she is HIV positive. ... Camilla hasn't been unfaithful, and it is clear she has been HIV positive for some time.     "
"

                        Study finds HIV-positive live longer when engaged in 'spiritual thinking'        
","May 10, 2016",Allan Turner,"
        Allan Turner A study published in the Journal of General Internal Medicine finds that HIV-positive men and women had a longer survival rate if they engaged in spiritual practices and thinking, an article in The ... "
"

                        WHO pushes for millions more to get HIV treatment        
","September 30, 2015",NEW YORK TIMES,"
        NEW YORK TIMES Everyone who has HIV should immediately be put on antiretroviral triple therapy and everyone at risk of becoming infected should be offered protective doses of similar drugs, the World Health ... "
"

HIV-positive woman hiding status from men        
","July 6, 2015",Abby,"
        At the time, a friend of mine had found out she was HIV-positive. ... We have reconnected, but I have recently learned she had several relationships and didn't reveal that she was HIV-positive or use protection. ... "
"

                        Patients at 2 Galveston County health clinics may have been exposed to HIV, hepatitis        
","March 23, 2018",Nick Powell,"
        No infections found, but county has 'significant concern' about those who had dental procedures By Nick Powell A Galveston-based health clinic chain may have infected patients with the hepatitis B virus, ... "
"

                        Fake doctor in India suspected of infecting dozens with HIV 
","February 6, 2018",NEW YORK TIMES,"
        NEW YORK TIMES NEW DELHI - Police officials in northern India were searching on Tuesday for a fake doctor suspected of infecting dozens of his patients with HIV by reusing a dirty syringe. ... At least 33, they ... "
"

                        Trump ends terms of remaining members of HIV and AIDS Council        
","December 30, 2017",New York Times,"
HIV, AIDS council members ousted Advocacy groups assail removal of federal advisers New York Times The Trump administration this past week dismissed the remaining members of a federal advisory council on HIV and ... "
"

                        Woman learns she has HIV but refuses to inform her ex        
","August 5, 2016",Abby,"
        Woman refuses to tell ex she has HIV By Abby Dear Abby: My friend ""Camilla"" recently learned she is HIV positive. ... Camilla hasn't been unfaithful, and it is clear she has been HIV positive for some time.     "
"

                        Study finds HIV-positive live longer when engaged in 'spiritual thinking'        
","May 10, 2016",Allan Turner,"
        Allan Turner A study published in the Journal of General Internal Medicine finds that HIV-positive men and women had a longer survival rate if they engaged in spiritual practices and thinking, an article in The ... "
"

                        WHO pushes for millions more to get HIV treatment        
","September 30, 2015",NEW YORK TIMES,"
        NEW YORK TIMES Everyone who has HIV should immediately be put on antiretroviral triple therapy and everyone at risk of becoming infected should be offered protective doses of similar drugs, the World Health ... "
"

HIV-positive woman hiding status from men        
","July 6, 2015",Abby,"
        At the time, a friend of mine had found out she was HIV-positive. ... We have reconnected, but I have recently learned she had several relationships and didn't reveal that she was HIV-positive or use protection. ... "
"

                        Girl's HIV infection seems under control without AIDS drugs        
","July 24, 2017",MARILYNN MARCHIONE,"
        Current treatments keep HIV under control but must be taken lifelong. ... The previous cases: -A French teen who was born with HIV and is now around 20 has had her infection under control despite no HIV ... "
"

                        Fake doctor in India suspected of infecting dozens with HIV 
","February 6, 2018",NEW YORK TIMES,"
        NEW YORK TIMES NEW DELHI - Police officials in northern India were searching on Tuesday for a fake doctor suspected of infecting dozens of his patients with HIV by reusing a dirty syringe. ... At least 33, they ... "
"

                        Trump ends terms of remaining members of HIV and AIDS Council        
","December 30, 2017",New York Times,"
HIV, AIDS council members ousted Advocacy groups assail removal of federal advisers New York Times The Trump administration this past week dismissed the remaining members of a federal advisory council on HIV and ... "
